SRR5755588	SRR5755589	SRR5755590	SRR5755591	SRR5755592	SRR5755593
D230037D09Rik	685	731	484	842	962	915
D2Ertd750e	10068	10290	6721	9590	9691	9670
D2Wsu81e	1362	1447	914	1802	1884	1928
D2hgdh	533	495	371	230	205	211
D330012F22Rik	267	261	196	241	237	269
D330022K07Rik	0	4	2	0	0	2
D330023K18Rik	173	180	105	76	78	74
D330028D13Rik	118	116	90	126	114	94
D330041H03Rik	14	29	16	12	9	14
D330045A20Rik	75	78	47	290	252	335
D330050G23Rik	39	26	17	15	22	17
D3Bwg0562e	23	39	10	19	53	49
D3Ertd254e	1039	811	695	756	755	827
D3Ertd751e	591	570	388	698	653	677
D430001F17Rik	4	1	0	1	1	1
D430018E03Rik	26	16	2	14	12	24
D430020J02Rik	5	4	7	17	17	15
D430036J16Rik	8	9	0	16	33	30
D430040D24Rik	4	5	1	2	1	5
D430041D05Rik	342	274	135	175	136	197
D430042O09Rik	2593	2309	1628	1456	1550	1599
D4Bwg0951e	199	270	121	239	231	281
D4Ertd22e	8761	9193	5902	9485	9879	9573
D4Wsu53e	6678	7120	4213	4438	4582	5657
D530049N12Rik	0	0	0	0	0	0
D5Ertd577e	0	0	0	0	0	0
D5Ertd579e	8390	7904	5250	6545	6348	7093
D630003M21Rik	81	115	75	59	29	54
D630004N19Rik	0	0	0	0	0	0
D630008O14Rik	0	0	1	0	0	1
D630013G24Rik	5	0	1	2	2	2
D630014O11Rik	0	0	0	0	0	0
D630023F18Rik	50	63	26	10	16	9
D630024D03Rik	2	1	3	0	0	1
D630028G08Rik	0	0	0	0	0	0
D630029K05Rik	2	1	0	0	0	1
D630032N06Rik	15	14	12	3	9	5
D630036H23Rik	1	2	1	0	2	1
D630037F22Rik	1072	1012	750	843	877	962
D630039A03Rik	29	13	6	1	2	3
D630042F21Rik	0	0	0	1	1	1
D630042P16Rik	0	1	0	0	0	0
D630044L22Rik	8	10	11	11	6	20
D630045J12Rik	3452	2983	2031	3749	3337	4026
D6Ertd474e	0	1	1	0	1	2
D6Ertd527e	18	16	12	2	3	11
D6Mm5e	1	1	0	0	0	0
D6Wsu116e	10583	10544	6890	7232	7308	7657
D6Wsu163e	1561	1486	1091	1219	1193	1300
D730003I15Rik	74	109	59	71	52	100
D730039F16Rik	9	2	1	0	2	2
D730040F13Rik	4919	4273	2980	8054	7589	8887
D730045A05Rik	2	0	3	0	0	5
D730045B01Rik	1	0	0	1	0	3
D730048I06Rik	1	1	0	0	0	0
D7Ertd443e	7	12	10	3	6	5
D830013O20Rik	0	1	1	0	0	1
D830014E11Rik	0	0	0	0	0	0
D830025C05Rik	12	10	5	0	4	1
D830026I12Rik	0	0	0	0	0	0
D830030K20Rik	0	0	0	0	0	0
D830039M14Rik	13	10	2	5	22	12
D830044D21Rik	0	1	0	1	1	4
D830044I16Rik	5	26	4	6	6	9
D830046C22Rik	0	0	0	0	0	0
D830050J10Rik	7	6	5	1	6	4
D8Ertd738e	4746	5545	3438	5441	5620	5472
D8Ertd82e	7106	7041	4818	4815	4532	4700
D930007J09Rik	0	0	0	0	0	0
D930007P13Rik	0	0	0	1	1	0
D930014E17Rik	452	465	308	373	390	343
D930015E06Rik	5340	5385	3460	5527	5236	5609
D930015M05Rik	11	14	6	3	6	14
D930016D06Rik	1035	1074	698	964	894	1028
D930019O06Rik	0	0	0	0	0	1
D930020B18Rik	41	51	18	3	3	9
D930020E02Rik	2	1	5	1	3	4
D930028M14Rik	6	6	9	5	13	4
D930030I03Rik	7	5	5	7	11	8
D930032P07Rik	1	2	0	0	0	0
D930048G16Rik	44	30	26	15	15	24
D930048N14Rik	5	6	4	6	7	20
D930049A15Rik	49	49	33	17	12	26
D9Ertd402e	1059	911	719	622	630	584
DXBay18	0	2	2	12	0	3
Daam1	6774	6187	4587	7685	7117	7710
Daam2	2732	2660	1762	850	748	979
Dab1	3399	3319	2131	6554	6238	6858
Dab2	1189	981	778	505	486	533
Dab2ip	5979	5977	4057	7010	6745	7343
Dach1	522	442	311	301	294	342
Dach2	372	293	208	356	358	368
Dact1	356	336	209	1875	1814	1854
Dact2	1	9	1	9	10	7
Dact3	3000	3113	2118	1523	1438	1502
Dad1	4816	5230	3425	5137	5369	5315
Daf2	0	0	0	0	0	0
Dag1	29297	26863	18675	26186	24389	26836
Dagla	841	856	551	1209	1211	1172
Daglb	1964	2109	1332	1567	1617	1655
Dak	2103	2104	1523	1778	1530	1726
Dalrd3	1152	1353	824	1857	1936	1988
Dand5	394	384	229	235	230	185
Dao	0	0	0	0	0	0
Dap	2619	2634	1861	2261	2165	2127
Dap3	9858	10852	7003	8165	8221	8398
Dapk1	8458	8100	5541	2256	2112	2337
Dapk2	202	193	166	49	53	47
Dapk3	2446	2471	1603	2216	2351	2202
Dapl1	0	2	1	0	1	6
Dapp1	49	38	35	11	15	22
Darc	49	58	56	11	5	3
Dars	11170	11028	7330	11108	11392	11157
Dars2	2967	3081	2069	2897	3107	2866
Daxx	2645	2873	1864	2957	2866	2876
Dazap1	5556	5779	3674	7662	7619	8219
Dazap2	20022	20567	13498	13995	14303	14249
Dazl	1	0	0	0	0	0
Dbc1	273	272	142	149	145	170
Dbf4	2901	2976	2023	6827	6881	7142
Dbh	0	0	0	0	0	0
Dbi	83018	92282	57838	42027	43298	42668
Dbil5	14	24	16	9	10	13
Dbn1	12328	12810	8182	8269	7803	8273
Dbndd1	1157	1129	753	377	424	417
Dbndd2	2619	2683	1661	2017	2001	2220
Dbnl	5465	5851	3636	5411	5504	5462
Dbp	1367	1573	1018	483	512	461
Dbpht2	398	366	223	87	92	78
Dbr1	1139	1174	836	1785	1734	1949
Dbt	3841	3743	2566	2474	2280	2412
Dbx1	1	1	2	0	4	0
Dbx2	3968	4156	2640	3673	3753	3910
Dcaf10	3389	3031	2036	3048	3126	3462
Dcaf11	5734	6302	3982	2294	2321	2355
Dcaf12	9728	9474	6530	7057	7377	7300
Dcaf12l1	7	1	2	8	3	16
Dcaf12l2	0	1	0	0	0	0
Dcaf13	2791	2794	1887	3510	3683	3744
Dcaf15	2210	2327	1598	3722	3601	3906
Dcaf17	2060	1899	1347	1669	1688	1794
Dcaf4	1232	1307	869	1056	1072	1135
Dcaf5	4647	4536	3083	3459	3556	3599
Dcaf6	4120	4019	2708	2141	2224	2382
Dcaf7	21734	21021	14376	15557	14956	16178
Dcaf8	13638	14044	9073	7332	7218	7743
Dcakd	8192	8546	5608	7885	7603	8005
Dcbld1	2134	2116	1497	3180	2916	3145
Dcbld2	3220	3096	2207	5544	5519	5581
Dcc	2640	1871	1532	1433	1200	1338
Dcdc2a	44	50	43	9	6	11
Dcdc2b	60	57	43	15	30	33
Dcdc2c	0	0	0	0	0	0
Dcdc5	3	0	6	1	1	7
Dchs1	10772	9756	6312	12354	10493	12490
Dck	6967	6583	4609	11726	11380	11881
Dclk1	30195	28915	19960	20708	20866	22282
Dclk2	12284	12944	8274	10461	10413	11852
Dclk3	109	102	54	9	16	18
Dclre1a	1116	1045	770	949	996	1009
Dclre1b	1118	1021	664	1952	1699	1806
Dclre1c	1386	1291	961	512	610	573
Dcn	1	1	0	0	0	1
Dcp1a	2512	2387	1761	2426	2192	2547
Dcp1b	1107	1232	752	637	690	709
Dcp2	4427	3920	2888	7071	6664	7447
Dcpp1	5	10	0	1	0	3
Dcpp2	0	0	0	0	0	0
Dcpp3	4	3	1	0	0	1
Dcps	2127	2430	1533	3328	3613	3585
Dcst1	35	66	36	31	27	34
Dct	11	9	8	0	2	3
Dctd	477	411	293	1830	1809	1841
Dctn1	13225	14045	8806	10886	10192	10817
Dctn2	16979	18679	11619	12060	12087	12492
Dctn3	3885	4345	2799	2859	3100	3156
Dctn4	10024	9921	6359	6855	7221	7501
Dctn5	4774	5239	3168	4415	4213	4434
Dctn6	2466	2713	1636	2102	2039	2187
Dctpp1	1510	1589	976	3924	3865	3747
Dcun1d1	2167	1955	1337	2012	2001	2130
Dcun1d2	1874	1909	1339	2631	2725	2817
Dcun1d3	1460	1350	969	1106	1030	1130
Dcun1d4	3293	3245	2146	3102	2950	3455
Dcun1d5	3609	3565	2443	4627	4960	4884
Dcx	5653	4701	3412	1323	1135	1316
Dcxr	438	463	245	76	66	61
Dda1	3785	4047	2573	4986	4844	5069
Ddah1	35370	34982	23546	30024	29067	30375
Ddah2	12806	13944	9052	12124	12209	12452
Ddb1	42503	41991	27754	46163	41735	46446
Ddb2	299	324	208	128	138	141
Ddc	96	131	68	44	38	36
Ddhd1	4198	3851	2647	3808	3762	4258
Ddhd2	1711	1739	1115	1515	1577	1654
Ddi1	0	0	0	0	0	0
Ddi2	3152	2967	1951	4621	4648	4849
Ddit3	826	864	539	550	611	663
Ddit4	14287	14517	10011	9629	10610	9294
Ddit4l	404	454	280	820	876	826
Ddn	14	16	5	18	12	17
Ddo	125	130	68	23	32	13
Ddost	13966	15171	9747	17112	16692	17090
Ddr1	48661	49927	31503	33647	33813	35344
Ddr2	1996	1727	1277	1781	1820	2088
Ddrgk1	3515	4305	2542	2632	2809	2711
Ddt	1846	2142	1364	681	700	674
Ddx1	15229	15686	10352	22126	21749	23244
Ddx10	1829	1754	1166	2561	2564	2507
Ddx11	1414	1438	969	2963	2740	3084
Ddx17	30215	30098	19480	24223	23713	26969
Ddx18	1938	2026	1350	4359	4148	4354
Ddx19a	4584	4673	3159	5820	5538	5874
Ddx19b	2466	2342	1586	1874	1808	1954
Ddx20	1280	1317	788	2945	3048	2948
Ddx21	7903	7714	5114	21060	20421	21317
Ddx23	9654	10091	6307	10543	10398	11196
Ddx24	6562	6602	4339	7063	6913	7548
Ddx25	1939	2073	1465	2677	2799	2692
Ddx26b	1865	2121	1205	1255	1262	1611
Ddx27	2433	2501	1723	4890	4673	5186
Ddx28	1001	1276	755	982	1006	1048
Ddx31	695	596	400	1286	1270	1232
Ddx39	2907	3436	2152	8207	8181	8189
Ddx39b	18325	20173	12622	25652	24618	26546
Ddx3x	31955	30231	20762	45079	43422	47062
Ddx3y	3910	3676	2407	3151	3127	3461
Ddx4	122	147	108	23	27	49
Ddx41	5105	5893	3673	6132	6170	6389
Ddx42	8484	8458	5514	8252	7752	8736
Ddx43	7	6	2	3	12	2
Ddx46	8084	7361	4906	10574	9859	11217
Ddx47	3597	3956	2563	3825	3897	3838
Ddx49	1827	1997	1273	2272	2248	2294
Ddx5	64375	63779	40041	59567	58218	65099
Ddx50	4750	5035	3258	4900	5115	5211
Ddx51	1369	1336	991	2252	2326	2264
Ddx52	4781	4636	2945	4557	4685	4772
Ddx54	5375	5716	3716	8701	8563	8648
Ddx55	925	953	689	1064	1086	1192
Ddx56	2749	2890	2003	4950	4984	5056
Ddx58	927	890	624	484	419	480
Ddx59	1367	1396	931	1328	1311	1313
Ddx6	31251	28587	19829	28489	26736	29762
Ddx60	8	10	2	1	1	0
Deaf1	2884	3126	2015	2055	1941	2260
Dear1	0	2	0	2	4	0
Deb1	2044	2177	1406	1697	1771	1931
Decr1	2004	2129	1365	1190	1219	1293
Decr2	2234	2327	1520	1039	1028	1047
Dedd	383	408	286	343	411	400
Dedd2	587	651	401	275	315	283
Def6	14	14	2	6	12	2
Def8	5417	5683	3792	4066	4208	4127
Defa-ps1	0	0	0	0	0	0
Defa-ps10	0	0	0	0	0	0
Defa-ps11	0	0	0	0	0	0
Defa-ps12	0	0	0	0	0	0
Defa-ps13	0	0	0	0	0	0
Defa-ps14	0	0	0	0	0	0
Defa-ps15	0	0	0	0	0	0
Defa-ps16	0	0	0	0	0	0
Defa-ps17	0	0	0	0	0	0
Defa-ps18	0	0	0	0	0	0
Defa-ps3	0	0	0	0	0	0
Defa-ps4	0	0	0	0	0	0
Defa-ps5	0	0	0	0	0	0
Defa-ps6	0	0	0	0	0	0
Defa-ps7	0	0	0	0	0	0
Defa-ps8	0	0	0	0	0	0
Defa-ps9	0	0	0	0	0	0
Defa-rs1	0	0	0	0	0	0
Defa-rs7	0	0	0	0	0	0
Defa17	0	0	0	0	0	0
Defa20	0	0	0	0	0	0
Defa21	0	2	0	0	0	0
Defa22	0	0	0	0	0	0
Defa23	0	0	0	0	0	0
Defa24	0	0	0	0	0	0
Defa25	0	0	0	0	0	0
Defa26	0	0	0	0	0	0
Defa3	0	0	0	0	0	0
Defa5	0	0	0	0	0	0
Defb1	0	0	0	0	0	0
Defb10	0	0	0	0	0	0
Defb11	0	0	0	0	0	0
Defb12	0	0	0	0	0	0
Defb13	0	0	0	0	0	0
Defb14	0	0	0	0	0	0
Defb15	0	0	0	0	0	0
Defb18	0	0	0	0	0	0
Defb19	0	0	0	0	0	0
Defb2	0	0	0	0	0	0
Defb20	0	0	0	0	0	0
Defb21	0	0	0	0	0	0
Defb22	0	0	0	0	0	0
Defb23	0	0	0	0	0	0
Defb25	0	0	0	0	0	0
Defb26	0	0	0	0	0	0
Defb28	0	0	0	0	0	0
Defb29	0	0	0	0	0	0
Defb3	0	0	0	0	0	0
Defb30	0	1	0	0	0	0
Defb34	0	0	0	0	0	0
Defb35	0	0	0	0	0	0
Defb36	0	0	0	0	1	0
Defb37	0	0	0	0	0	0
Defb38	0	0	0	0	0	0
Defb39	0	0	0	0	0	0
Defb4	0	0	0	0	0	0
Defb40	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
Defb42	8	9	9	0	2	7
Defb43	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb45	0	0	0	0	0	0
Defb46	0	0	0	0	0	0
Defb47	0	0	0	0	0	0
Defb48	0	0	0	0	0	0
Defb5	0	0	0	0	0	0
Defb50	0	0	0	0	0	0
Defb6	0	0	0	0	0	0
Defb7	0	0	0	0	0	0
Defb8	0	0	0	0	0	0
Defb9	0	0	0	0	0	0
Degs1	4766	5107	3297	6561	6530	6834
Degs2	102	89	66	148	160	176
Dek	10358	9855	7001	19924	19564	19984
Dem1	1190	1200	790	1144	1178	1230
Dennd1a	3080	3025	2027	2378	2134	2354
Dennd1b	1946	1796	1228	1982	1875	2200
Dennd1c	0	0	0	0	0	0
Dennd2a	11682	11991	7987	21333	21851	21962
Dennd2c	201	233	134	221	218	218
Dennd2d	0	1	1	1	2	0
Dennd3	168	173	93	406	361	497
Dennd4a	6782	5856	4125	4520	4353	4739
Dennd4b	1229	1227	887	1428	1386	1502
Dennd4c	2961	2562	1832	3579	3353	3872
Dennd5a	49507	48888	33234	33695	33814	35434
Dennd5b	2540	2150	1583	2742	2574	2959
Denr	2800	2835	1955	4813	4657	4713
Depdc1a	1073	912	717	1691	1818	1853
Depdc1b	996	1044	733	1704	1755	1827
Depdc5	4418	4228	2775	3805	3844	4038
Depdc7	142	124	90	196	254	246
Deptor	162	129	90	282	208	257
Dera	2877	2943	1989	1926	2137	2073
Derl1	5201	5269	3559	4609	4751	4967
Derl2	2821	2876	1931	2817	2741	2834
Derl3	23	25	10	20	9	22
Des	4	16	5	4	1	9
Det1	460	439	309	532	595	591
Dexi	1271	1468	977	970	1013	986
Dffa	1549	1628	1078	1240	1290	1348
Dffb	680	848	489	629	584	697
Dfna5	545	480	361	766	682	748
Dfnb59	14	6	18	5	15	5
Dgat1	1890	2011	1326	1610	1860	1771
Dgat2	1747	1702	1240	1369	1540	1345
Dgat2l6	0	1	0	0	0	0
Dgcr14	2475	2635	1743	2430	2384	2496
Dgcr2	10743	11315	7370	8368	8233	8369
Dgcr6	2472	2692	1816	1772	1971	1801
Dgcr8	2281	2304	1557	3311	3291	3614
Dgka	991	1059	650	482	586	654
Dgkb	3167	2866	2020	2342	2301	2432
Dgkd	7565	7325	4994	7945	8087	8155
Dgke	1332	1288	880	1111	1019	1274
Dgkg	151	157	143	587	692	676
Dgkh	191	114	131	389	331	449
Dgki	1038	811	713	1165	1205	1259
Dgkk	1161	1099	810	8063	7228	8251
Dgkq	868	816	653	864	821	1001
Dgkz	9329	9662	6250	15996	16052	16499
Dguok	973	988	652	609	703	676
Dhcr24	11209	10989	7488	26055	24759	26654
Dhcr7	9168	9297	6323	21802	21370	22633
Dhdds	3898	4002	2635	3105	3069	3036
Dhdh	44	19	38	7	20	19
Dhfr	2450	2464	1801	5952	6102	6004
Dhh	187	191	121	281	300	295
Dhodh	1105	1233	681	1863	2055	1977
Dhps	1260	1362	849	1740	1904	1942
Dhrs1	8053	8657	5484	3991	4040	4236
Dhrs11	416	496	332	280	250	321
Dhrs13	1013	1198	780	1999	2164	2070
Dhrs2	34	45	24	44	49	60
Dhrs3	331	337	245	3	9	8
Dhrs4	1884	1989	1383	1069	1167	1134
Dhrs7	2205	2435	1509	1150	1268	1260
Dhrs7b	1987	2416	1456	2370	2567	2414
Dhrs7c	3	0	5	5	8	1
Dhrs9	0	0	0	1	0	0
Dhtkd1	129	104	54	28	25	32
Dhx15	12312	11986	8111	23442	22793	24049
Dhx16	3784	4046	2598	4772	4701	4849
Dhx29	2866	2756	1748	4344	4228	4448
Dhx30	8274	8412	5667	8456	8234	8730
Dhx32	3838	3978	2717	1785	1815	1884
Dhx33	3527	3333	2250	5870	5655	6427
Dhx34	1679	1747	1063	1093	1016	1117
Dhx35	2877	3148	1959	2968	3148	3334
Dhx36	9541	8945	6178	10166	10148	10723
Dhx37	2082	2052	1256	3161	2698	3007
Dhx38	6785	6750	4517	5826	5446	5987
Dhx40	7468	7346	4776	4532	4278	4611
Dhx57	2282	2262	1581	1587	1465	1622
Dhx58	28	41	4	66	52	99
Dhx8	3747	4073	2602	4453	4112	4305
Dhx9	24232	23019	14518	31488	28819	32391
Diablo	2838	3327	2041	2856	2945	2874
Diap1	3697	3584	2396	4905	4532	5125
Diap2	1104	947	658	1980	1679	1914
Diap3	1667	1530	1049	3503	3344	3648
Dicer1	6252	5627	3960	6779	6405	7218
Dido1	6222	5740	3946	7113	6680	7237
Diexf	1359	1354	990	1541	1539	1767
Dimt1	428	424	276	892	891	939
Dio1	0	0	0	0	0	0
Dio2	71	66	33	143	142	215
Dio3	0	0	0	0	0	0
Dio3os	0	0	0	0	0	0
Dip2a	5234	4780	3324	5465	5227	5832
Dip2b	8172	7064	5164	6915	6611	7114
Dip2c	5634	5075	3524	7909	7631	8100
Diras1	258	257	205	79	75	76
Diras2	62	51	44	650	686	569
Dirc2	4149	4322	2714	2327	2386	2383
Dis3	2123	1896	1218	4867	4533	4970
Dis3l	3799	3669	2503	3551	3508	3728
Dis3l2	1774	1899	1270	1682	1469	1598
Disc1	160	151	95	488	403	441
Disp2	2158	1937	1211	1523	1423	1475
Dixdc1	1884	1705	1251	423	512	565
Dkc1	2702	2559	1835	8117	7919	8159
Dkk1	0	1	0	0	0	0
Dkk2	1	1	2	0	0	2
Dkk3	26	23	8	8	6	8
Dkk4	0	0	1	0	0	0
Dkkl1	3	11	0	2	0	1
Dlat	4867	4932	3337	8598	8608	9025
Dlc1	301	334	174	752	703	701
Dld	12395	12218	7983	12318	12051	12512
Dlec1	59	65	53	5	14	28
Dleu2	256	207	115	67	107	104
Dleu7	178	227	138	33	22	19
Dlg1	5173	4740	3271	5862	6112	6335
Dlg2	34	41	18	19	17	12
Dlg3	1908	1971	1251	1521	1550	1717
Dlg4	4710	4698	3308	7208	7384	7730
Dlg5	13348	11761	8304	8954	8622	9079
Dlgap1	2879	2706	1713	1849	1731	1858
Dlgap2	19	8	5	4	4	2
Dlgap3	3200	3286	2167	4830	4886	4944
Dlgap4	7191	7012	4373	6359	6011	6476
Dlgap5	4292	4331	3022	6681	6232	6252
Dlk1	205	220	140	127	125	146
Dlk2	93	65	47	63	41	69
Dll1	10463	10532	7008	5838	5444	6299
Dll3	7248	7428	4814	1585	1468	1531
Dll4	217	227	151	77	60	60
Dlst	13224	13601	9100	16853	16381	17038
Dlx1	122	99	66	162	175	142
Dlx1as	25	12	14	22	23	31
Dlx2	97	156	53	256	243	233
Dlx3	0	0	0	0	7	2
Dlx4	0	0	0	1	0	1
Dlx5	1	2	0	0	0	0
Dlx6	1	9	0	0	2	0
Dlx6os1	0	2	1	1	0	0
Dmap1	2385	2564	1501	1941	1954	1972
Dmbt1	1	2	1	0	1	0
Dmbx1	6	17	11	25	20	8
Dmc1	12	11	5	1	0	1
Dmd	6406	5909	3991	7055	6929	7256
Dmgdh	0	1	0	0	0	0
Dmkn	1	1	0	0	0	0
Dmp1	9	19	7	49	43	55
Dmpk	1406	1500	965	1216	1133	1393
Dmrt1	1	3	0	0	0	0
Dmrt2	2	5	1	0	0	0
Dmrt3	1	0	0	0	0	0
Dmrta1	628	586	398	138	144	192
Dmrta2	218	145	131	233	209	183
Dmrtb1	715	824	541	296	238	271
Dmrtc1a	54	63	44	1	5	16
Dmrtc1b	0	0	0	0	0	0
Dmrtc1c1	0	0	0	0	0	0
Dmrtc1c2	0	0	0	0	0	0
Dmrtc2	2	1	0	0	0	1
Dmtf1	3961	4020	2695	4348	4088	4492
Dmwd	5750	6278	3762	5451	5568	5810
Dmxl1	3888	3175	2226	4531	4399	4816
Dmxl2	2882	2428	1898	3078	2746	3241
Dna2	657	566	382	2105	2114	2328
Dnahc1	57	68	30	50	40	53
Dnahc10	16	13	9	9	6	18
Dnahc11	2	4	0	2	3	5
Dnahc12	1	3	0	0	4	1
Dnahc14	0	4	0	0	0	1
Dnahc17	29	28	13	26	66	81
Dnahc2	45	40	41	25	42	48
Dnahc3	4	2	1	3	1	0
Dnahc5	13	13	3	11	6	10
Dnahc6	1	0	0	0	1	0
Dnahc7a	0	0	0	0	0	0
Dnahc7b	79	60	65	42	58	45
Dnahc7c	0	0	0	0	0	0
Dnahc8	81	77	76	63	78	93
Dnahc9	126	110	80	33	22	32
Dnaic1	138	150	75	49	41	43
Dnaic2	430	383	277	80	51	92
Dnaja1	10492	10568	6878	11553	11313	11773
Dnaja1-ps	0	0	0	0	1	0
Dnaja2	12951	13201	8570	17262	17446	17569
Dnaja3	3479	3433	2581	4971	5052	4909
Dnaja4	259	210	155	203	163	181
Dnajb1	2961	2956	2082	4234	4055	4227
Dnajb11	4946	4820	3238	7172	7243	7320
Dnajb12	4529	4500	2949	4284	4234	4571
Dnajb13	20	18	11	1	6	0
Dnajb14	3392	2859	2209	3049	3139	3346
Dnajb2	806	751	548	568	645	658
Dnajb3	58	65	38	44	23	28
Dnajb4	3838	3775	2495	2109	2145	2358
Dnajb5	1965	2153	1219	2374	2215	2464
Dnajb6	2631	2775	1718	2088	2269	2354
Dnajb7	3	1	1	1	1	1
Dnajb8	0	0	0	0	0	0
Dnajb9	2943	2724	1870	1543	1585	1652
Dnajc1	2851	2675	1858	2883	2892	3068
Dnajc10	11789	11347	7724	14392	14639	15246
Dnajc11	5354	5533	3575	6888	6849	7199
Dnajc12	635	616	389	329	331	322
Dnajc13	8493	7076	5060	10024	9421	10159
Dnajc14	4432	4585	3005	4898	4834	4952
Dnajc15	601	727	472	955	928	873
Dnajc16	2450	2278	1547	2086	2074	2206
Dnajc17	717	733	508	722	685	715
Dnajc18	8284	8160	5670	4268	4270	4551
Dnajc19	1093	1211	798	1359	1330	1528
Dnajc2	3115	3232	1998	5975	6237	6233
Dnajc21	461	456	337	1029	925	1026
Dnajc22	18	27	19	4	6	10
Dnajc24	1563	1617	1027	1581	1548	1411
Dnajc25	530	530	328	809	847	813
Dnajc27	1263	1259	781	1682	1639	1748
Dnajc28	783	792	576	217	204	180
Dnajc3	5841	5538	3706	6597	6844	6842
Dnajc30	632	643	421	385	335	358
Dnajc4	560	701	373	444	414	424
Dnajc5	13827	13890	9696	12505	12534	13183
Dnajc5b	0	0	0	0	0	0
Dnajc5g	0	0	0	0	0	0
Dnajc6	132	100	74	19	14	23
Dnajc7	10916	11581	7539	10161	10229	10824
Dnajc8	6317	6832	4291	7505	7430	7427
Dnajc9	6119	6394	4442	9920	10037	10185
Dnalc1	2112	1969	1398	1646	1754	1826
Dnalc4	2279	2518	1697	1945	2137	2111
Dnali1	41	48	19	1	1	3
Dnase1	146	137	108	180	159	250
Dnase1l1	92	125	58	74	55	35
Dnase1l2	65	62	61	49	88	66
Dnase1l3	0	0	0	0	0	0
Dnase2a	913	1017	648	507	569	635
Dnase2b	0	0	0	1	1	0
Dnd1	51	69	38	112	72	97
Dner	14775	14499	9197	12986	11565	12408
Dnhd1	491	503	339	534	441	559
Dnlz	3059	3199	2093	3105	3224	3150
Dnm1	913	849	546	430	430	406
Dnm1l	9817	9453	6161	11263	11263	12205
Dnm2	7235	7406	4649	7285	6989	7684
Dnm3	1419	1350	978	384	299	355
Dnm3os	1	3	4	1	2	0
Dnmbp	1784	1792	1203	1738	1554	1782
Dnmt1	11562	11350	7473	29586	25573	30004
Dnmt3a	8858	8254	5469	8799	8267	9180
Dnmt3b	186	173	130	193	217	222
Dnmt3l	0	0	0	0	1	0
Dnmt3l-ps1	0	0	0	0	0	0
Dnpep	6843	7521	4685	5412	5773	5592
Dntt	4	0	0	2	10	3
Dnttip1	1521	1628	1034	1336	1238	1402
Dnttip2	4389	4385	2763	5306	5501	5761
Doc2a	1	0	2	0	0	1
Doc2b	29	21	24	17	9	19
Doc2g	44	46	17	27	23	45
Dock1	11863	11106	7695	14763	13916	15267
Dock10	7092	6274	4353	8135	7614	8670
Dock11	1482	1230	786	2162	2057	2128
Dock2	0	0	0	1	0	1
Dock3	2538	2090	1540	2854	2520	3183
Dock4	3145	2908	2005	3120	2753	3257
Dock5	60	36	28	160	109	149
Dock6	1125	1169	723	1026	835	1041
Dock7	10518	8950	6301	19903	17465	20071
Dock8	118	82	55	7	12	15
Dock9	845	751	530	680	604	728
Dohh	2385	2470	1581	3397	3412	3347
Dok1	249	269	202	243	190	211
Dok2	45	36	20	4	3	11
Dok3	22	41	32	32	47	56
Dok4	525	587	368	342	335	320
Dok5	380	414	220	161	163	133
Dok6	403	313	232	351	344	363
Dok7	1086	1063	611	364	370	351
Dolk	1658	1717	1093	1697	1544	1616
Dolpp1	1478	1576	1079	1812	1868	1959
Dom3z	1098	1070	677	1091	1035	1220
Donson	854	856	574	2025	2090	2069
Dopey1	1874	1655	1170	1616	1463	1680
Dopey2	3458	3073	2103	1711	1414	1737
Dos	1669	1732	1075	1701	1618	1846
Dot1l	5457	5578	3635	7280	7093	8342
Doxl2	0	0	0	0	0	0
Dpagt1	1809	1861	1206	2207	2199	2110
Dpcd	1212	1377	817	1184	1236	1265
Dpcr1	2	1	2	1	1	4
Dpep1	0	0	0	0	0	0
Dpep2	12	7	8	2	1	0
Dpep3	0	1	0	0	0	0
Dpf1	1421	1442	978	2698	2793	2868
Dpf2	7459	7397	4820	5926	5848	6100
Dpf3	257	210	155	421	357	382
Dph1	578	637	386	981	1072	1043
Dph2	872	870	577	1783	1705	1812
Dph3	2165	2277	1408	2686	2603	2678
Dph3b-ps	0	0	0	0	0	0
Dph5	750	764	529	1372	1261	1336
Dpm1	2643	2812	1757	2423	2515	2687
Dpm2	2139	2248	1538	1889	1890	2017
Dpm3	1313	1447	912	1215	1251	1275
Dpp10	1619	1435	913	292	269	292
Dpp3	5058	5397	3348	5590	5253	5730
Dpp4	1	1	5	0	0	1
Dpp6	3429	2948	2069	1824	1779	1900
Dpp7	693	814	444	403	444	536
Dpp8	15732	14347	9698	10393	10351	11036
Dpp9	2956	3199	2072	4395	4018	4406
Dppa1	0	0	0	0	0	0
Dppa2	0	1	0	2	1	2
Dppa3	0	0	0	0	0	0
Dppa4	0	0	1	0	0	0
Dppa5a	0	0	0	0	0	0
Dppa5b	0	0	0	0	0	0
Dpt	2	0	1	0	0	0
Dpy19l1	6419	6171	4256	8528	8692	8994
Dpy19l2	0	2	0	0	0	0
Dpy19l3	3230	3079	2123	3673	3992	4082
Dpy19l4	5728	5042	3521	4480	4522	4859
Dpy30	1690	1732	1123	2935	2785	3018
Dpyd	125	115	72	310	249	272
Dpys	3	2	1	5	4	3
Dpysl2	7887	7545	5517	6049	5257	5603
